ROUND,DATE
First stage,Thursday 14 June
First stage,Friday 15 June
First stage,Saturday 16 June
First stage,Sunday 17 June
First stage,Monday 18 June
First stage,Tuesday 19 June
First stage,Wednesday 20 June
First stage,Thursday 21 June
First stage,Friday 22 June
First stage,Saturday 23 June
First stage,Sunday 24 June
First stage,Monday 25 June
First stage,Tuesday 26 June
First stage,Wednesday 27 June
First stage,Thursday 28 June
First stage,Saturday 30 June
First stage,Sunday 01 July
First stage,Monday 02 July
First stage,Tuesday 03 July
First stage,Friday 06 July
First stage,Saturday 07 July
First stage,Tuesday 10 July
First stage,Wednesday 11 July
First stage,Saturday 14 July
First stage,Sunday 15 July
Round of 16,Thursday 14 June
Round of 16,Friday 15 June
Round of 16,Saturday 16 June
Round of 16,Sunday 17 June
Round of 16,Monday 18 June
Round of 16,Tuesday 19 June
Round of 16,Wednesday 20 June
Round of 16,Thursday 21 June
Round of 16,Friday 22 June
Round of 16,Saturday 23 June
Round of 16,Sunday 24 June
Round of 16,Monday 25 June
Round of 16,Tuesday 26 June
Round of 16,Wednesday 27 June
Round of 16,Thursday 28 June
Round of 16,Saturday 30 June
Round of 16,Sunday 01 July
Round of 16,Monday 02 July
Round of 16,Tuesday 03 July
Round of 16,Friday 06 July
Round of 16,Saturday 07 July
Round of 16,Tuesday 10 July
Round of 16,Wednesday 11 July
Round of 16,Saturday 14 July
Round of 16,Sunday 15 July
Quarter-finals,Thursday 14 June
Quarter-finals,Friday 15 June
Quarter-finals,Saturday 16 June
Quarter-finals,Sunday 17 June
Quarter-finals,Monday 18 June
Quarter-finals,Tuesday 19 June
Quarter-finals,Wednesday 20 June
Quarter-finals,Thursday 21 June
Quarter-finals,Friday 22 June
Quarter-finals,Saturday 23 June
Quarter-finals,Sunday 24 June
Quarter-finals,Monday 25 June
Quarter-finals,Tuesday 26 June
Quarter-finals,Wednesday 27 June
Quarter-finals,Thursday 28 June
Quarter-finals,Saturday 30 June
Quarter-finals,Sunday 01 July
Quarter-finals,Monday 02 July
Quarter-finals,Tuesday 03 July
Quarter-finals,Friday 06 July
Quarter-finals,Saturday 07 July
Quarter-finals,Tuesday 10 July
Quarter-finals,Wednesday 11 July
Quarter-finals,Saturday 14 July
Quarter-finals,Sunday 15 July
Semi-finals,Thursday 14 June
Semi-finals,Friday 15 June
Semi-finals,Saturday 16 June
Semi-finals,Sunday 17 June
Semi-finals,Monday 18 June
Semi-finals,Tuesday 19 June
Semi-finals,Wednesday 20 June
Semi-finals,Thursday 21 June
Semi-finals,Friday 22 June
Semi-finals,Saturday 23 June
Semi-finals,Sunday 24 June
Semi-finals,Monday 25 June
Semi-finals,Tuesday 26 June
Semi-finals,Wednesday 27 June
Semi-finals,Thursday 28 June
Semi-finals,Saturday 30 June
Semi-finals,Sunday 01 July
Semi-finals,Monday 02 July
Semi-finals,Tuesday 03 July
Semi-finals,Friday 06 July
Semi-finals,Saturday 07 July
Semi-finals,Tuesday 10 July
Semi-finals,Wednesday 11 July
Semi-finals,Saturday 14 July
Semi-finals,Sunday 15 July
Play-off for third place,Thursday 14 June
Play-off for third place,Friday 15 June
Play-off for third place,Saturday 16 June
Play-off for third place,Sunday 17 June
Play-off for third place,Monday 18 June
Play-off for third place,Tuesday 19 June
Play-off for third place,Wednesday 20 June
Play-off for third place,Thursday 21 June
Play-off for third place,Friday 22 June
Play-off for third place,Saturday 23 June
Play-off for third place,Sunday 24 June
Play-off for third place,Monday 25 June
Play-off for third place,Tuesday 26 June
Play-off for third place,Wednesday 27 June
Play-off for third place,Thursday 28 June
Play-off for third place,Saturday 30 June
Play-off for third place,Sunday 01 July
Play-off for third place,Monday 02 July
Play-off for third place,Tuesday 03 July
Play-off for third place,Friday 06 July
Play-off for third place,Saturday 07 July
Play-off for third place,Tuesday 10 July
Play-off for third place,Wednesday 11 July
Play-off for third place,Saturday 14 July
Play-off for third place,Sunday 15 July
Final,Thursday 14 June
Final,Friday 15 June
Final,Saturday 16 June
Final,Sunday 17 June
Final,Monday 18 June
Final,Tuesday 19 June
Final,Wednesday 20 June
Final,Thursday 21 June
Final,Friday 22 June
Final,Saturday 23 June
Final,Sunday 24 June
Final,Monday 25 June
Final,Tuesday 26 June
Final,Wednesday 27 June
Final,Thursday 28 June
Final,Saturday 30 June
Final,Sunday 01 July
Final,Monday 02 July
Final,Tuesday 03 July
Final,Friday 06 July
Final,Saturday 07 July
Final,Tuesday 10 July
Final,Wednesday 11 July
Final,Saturday 14 July
Final,Sunday 15 July
